time{s},tank\Tank\level,Control\valvecontrol,Control\count
13.6795458988376,2.7074167727147,1,15
13.6797394649449,2.70732473358313,1,15
13.6801265971594,2.70714069414992,1,15
13.6809008615886,2.70677277053775,1,15
13.6824493904468,2.7060375438067,1,15
13.6855464481632,2.70456956813554,1,15
13.6917405635961,2.70164349461148,1,15
13.697934679029,2.69872726567239,1,15
13.7103229098948,2.69293392205088,1,15
13.721472317674,2.68775131907659,1,15
13.7326217254532,2.6826017322799,1,15
13.7437711332324,2.67748314819331,1,15
13.7660699487908,2.66731615160373,1,15
13.7883687643491,2.65726221272565,1,15
13.8106675799075,2.64732774701233,1,15
13.8552652110243,2.62781607770534,1,15
13.9444604732579,2.59017174245862,1,15
14.0222410213273,2.55880502756618,1,15
14.1000215693967,2.52873654541024,1,15
14.177802117466,2.4999160125219,1,15
14.2555826655354,2.47229205561283,1,15
14.4111437616742,2.42046160524983,1,15
14.5511487481991,2.3774429150362,1,15
14.6794007242572,2.34081700878578,1,15
14.6794007242572,2.34081700878578,1,16
14.6794711708575,2.34079758421473,1,16
14.6796120640583,2.34075873707778,1,16
14.6798938504599,2.34068105668911,1,16
14.680457423263,2.34052574361574,1,16
14.6815845688693,2.34021530816774,1,16
14.6838388600818,2.3395951991307,1,16
14.6883474425069,2.33835802102275,1,16
14.6973646073571,2.33589576520564,1,16
14.7063817722073,2.33344555061248,1,16
14.7153989370574,2.33100731835781,1,16
14.7334332667578,2.3261587941254,1,16
14.7514675964581,2.32135384822129,1,16
14.7875362558588,2.31188467339768,1,16
14.8236049152594,2.30259862352942,1,16
14.8957422340608,2.28456034674018,1,16
14.9678795528621,2.26721565508874,1,16
15.0400168716635,2.25053924538872,1,16
15.1121541904648,2.23450583042183,1,16
15.2564288280675,2.204279155687,1,16
15.4007034656702,2.17634828269239,1,16
15.5449781032729,2.15052950182915,1,16
15.6794007242572,2.12822891888622,1,16
15.6794007242572,2.12822891888622,1,17
15.6795003264017,2.12821299488557,1,17
15.6796995306907,2.12818114984829,1,17
15.6800979392689,2.12811747458628,1,17
15.6808947564251,2.12799017934217,1,17
15.6824883907377,2.12773580978171,1,17
15.6856756593627,2.12722795283949,1,17
15.6920501966128,2.12621575545308,1,17
15.7047992711131,2.12420532961276,1,17
15.7175483456133,2.1222087763151,1,17
15.7302974201135,2.1202259998354,1,17
15.755795569114,2.11629248586678,1,17
15.7812937181144,2.11240884851598,1,17
15.8067918671149,2.10857802523659,1,17
15.8577881651158,2.1010739952975,1,17
15.9597807611176,2.08666994603289,1,17
16,2.08120880601556,1,17
